,order_id,order_status,payment_status,product_name,date,sku,qty,unit_price,paid_amount,paid_amount_calculated_no_ship_cost,paid_amount_calculated,logistic_cost,logistic_type
1405,2000011337360544,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-15 22:00:54-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1406,2000011337433792,paid,approved,Lavadora Portátil Sem Fio Ar Condicionado Carros Motos Bicicletas Sem Fio Ar Condicionado Carros Motos,2025-04-15 22:08:10-03:00,DVLAVADORASTANDARD,1,126.0,126.0,126.0,126.0,0.0,fulfillment
1407,2000011337768970,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-15 22:41:31-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1408,2000011337878274,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-15 22:52:26-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1409,2000011337895008,paid,approved,Lavadora Portátil Para Carros Quintal Pressão Recarregável,2025-04-15 22:56:01-03:00,DVLAVADORASTANDARD,1,126.0,126.0,126.0,126.0,0.0,fulfillment
1410,2000011337947936,paid,approved,Lavadora Portátil Premium Com Bateria Max De Longa Duração Sem Fio Ar Condicionado Carros Motos,2025-04-15 23:02:45-03:00,DVLAVADORAPREMIUM,1,147.4,147.4,147.4,147.4,0.0,fulfillment
1411,2000011337990636,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-15 23:06:29-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1412,2000011338126270,paid,approved,Lavadora Portátil Sem Fio Ar Condicionado Carros Motos Bicicletas Sem Fio Ar Condicionado Carros Motos,2025-04-15 23:20:10-03:00,DVLAVADORASTANDARD,1,126.0,126.0,126.0,126.0,0.0,fulfillment
1413,2000011338179716,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-15 23:33:20-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1414,2000011338405524,paid,approved,Furadeira Parafusadeira Gambit Kit Profissional Com Maleta,2025-04-16 00:00:55-03:00,DVPARAFUSA01,1,142.5,142.5,142.5,142.5,0.0,fulfillment
1415,2000011338529368,paid,approved,Lavadora Portátil Para Carros Quintal Pressão Recarregável,2025-04-16 00:21:28-03:00,DVLAVADORASTANDARD,1,126.0,126.0,126.0,126.0,0.0,fulfillment
1416,2000011338755886,paid,approved,Central Multimidia 9pol 2gb 32gb Android Com Câmera De Ré Colorida 2 X 1 Borboleta Ou Inserir,2025-04-16 00:55:34-03:00,DVMULTIMIDIA9CAMERARE,1,460.0,460.0,460.0,460.0,0.0,fulfillment
1417,2000011338900842,paid,approved,Furadeira Parafusadeira Gambit Kit Profissional Com Maleta,2025-04-16 01:28:06-03:00,DVPARAFUSA01,1,142.5,142.5,142.5,142.5,0.0,fulfillment
1418,2000011339470724,paid,approved,Câmera De Ré Automotiva 2 Em 1 Colorida Borboleta E Embutir Vision Carro Segurança,2025-04-16 05:45:32-03:00,DV_CAMERARE,1,23.66,36.56,23.66,36.56,12.9,fulfillment
1419,2000011339475812,paid,approved,Lavadora Portátil Sem Fio Ar Condicionado Carros Motos Bicicletas Sem Fio Ar Condicionado Carros Motos,2025-04-16 06:05:25-03:00,DVLAVADORASTANDARD,1,126.0,140.17,126.0,140.17,14.17,fulfillment
1420,2000011339539820,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-16 06:40:18-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1421,2000011339547542,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-16 06:46:33-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1422,2000011339614122,paid,approved,Colchão Inflável Casal Premium + Bomba De Ar.,2025-04-16 06:57:55-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1423,2000011339643122,paid,approved,Câmera De Ré Automotiva 2 Em 1 Colorida Borboleta E Embutir Vision Carro Segurança,2025-04-16 07:12:08-03:00,DV_CAMERARE,2,23.66,47.32,47.32,62.22,14.9,fulfillment
1424,2000011339668556,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-16 07:22:16-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1425,2000011339657876,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-16 07:23:53-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1426,2000011339682618,paid,approved,Furadeira Parafusadeira Gambit Kit Profissional Com Maleta,2025-04-16 07:24:01-03:00,DVPARAFUSA01,1,142.5,142.5,142.5,142.5,0.0,fulfillment
1427,2000011339668948,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-16 07:26:30-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1428,2000011339692102,cancelled,refunded,Colchão Inflável De Casal Com Bomba De Ar,2025-04-16 07:26:33-03:00,DVCOLCHAO01,1,177.48,0.0,177.48,177.48,0.0,fulfillment
1429,2000011339669056,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-16 07:26:49-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1430,2000011339704782,cancelled,refunded,Colchão Inflável De Casal Com Bomba De Ar,2025-04-16 07:35:10-03:00,DVCOLCHAO01,1,177.48,0.0,177.48,177.48,0.0,fulfillment
1431,2000011339728936,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-16 07:38:28-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1432,2000011339713360,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-16 07:40:31-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1433,2000011339777722,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-16 07:50:10-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1434,2000011339816606,paid,approved,Furadeira Parafusadeira Gambit Kit Profissional Com Maleta,2025-04-16 08:01:21-03:00,DVPARAFUSA01,1,142.5,142.5,142.5,142.5,0.0,fulfillment
1435,2000011339829404,paid,approved,Colchão Inflável Casal Premium + Bomba De Ar.,2025-04-16 08:06:04-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
